,created,text,entities,geo,,,X,Y
4715,2020-08-06 10:47:59,b'Tested the spotlightstores #mask patterns with the offcuts of doctorwho_bbca #Tardis print and worked out how mum a\xe2\x80\xa6 https://t.co/eEzGyKzxBo',"{'hashtags': [{'text': 'mask', 'indices': [27, 32]}, {'text': 'Tardis', 'indices': [77, 84]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eEzGyKzxBo', 'expanded_url': 'https://twitter.com/i/web/status/1291325139477463040', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","[-33.85094, 115.10287]",,,-33.85094,115.10287
6712,2020-08-05 02:31:41,"b""Play it safe. Play it cool. Protect you and your mates - don't be a fool  \n\n#cheesyrhymes #maskup #covid19\xe2\x80\xa6 https://t.co/DAYQNWnh9e""", ,"[-33.8696, 151.1951}",,,-33.8696,151.1951
10817,2020-08-02 11:17:15,"b'HIS &amp; HERS for the elderly couple next door. I hope that \xe2\x80\x9cHIS\xe2\x80\x9d are refined enough for a mature elderly gentleman, I\xe2\x80\xa6 https://t.co/YAkRtyKk8i'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YAkRtyKk8i', 'expanded_url': 'https://twitter.com/i/web/status/1289882951744856064', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}","[-36.75751, 144.28143]",,,-36.75751,144.28143
10925,2020-08-02 06:48:22,b'Another 10 face masks cut out &amp; ready to sew - these ones for the elderly couple next door. 5 suitable for a discer\xe2\x80\xa6 https://t.co/LT8pxE5xVm',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LT8pxE5xVm', 'expanded_url': 'https://twitter.com/i/web/status/1289815285113872388', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}","[-36.75751, 144.28143]",,,-36.75751,144.28143
3362,2020-08-07 01:12:39,b'Beeeeeeen a while since I\xe2\x80\x99ve posted. Hope y\xe2\x80\x99all are staying safe still \xe2\x9d\xa4\xef\xb8\x8f I\xe2\x80\x99m out here stayin safe in my\xe2\x80\xa6 https://t.co/pRsNWIiEvn',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pRsNWIiEvn', 'expanded_url': 'https://twitter.com/i/web/status/1291542738744221697', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]}","[-37.6167, 143.583]",,,-37.6167,143.583
1402,2020-08-08 08:44:02,b'My contribution to sthgrampiansshire #maskup competition #staysafestayhome  @GreaterHamilton thegrampians @ Souther\xe2\x80\xa6 https://t.co/FqHRMGSKRS',"{'hashtags': [{'text': 'maskup', 'indices': [37, 44]}, {'text': 'staysafestayhome', 'indices': [57, 74]}], 'symbols': [], 'user_mentions': [{'screen_name': 'GreaterHamilton', 'name': 'Greater Hamilton', 'id': 792857137831514112, 'id_str': '792857137831514112', 'indices': [76, 92]}], 'urls': [{'url': 'https://t.co/FqHRMGSKRS', 'expanded_url': 'https://twitter.com/i/web/status/1292018721398153221', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","[-37.7386801, 142.02614886]}",,,-37.7386801,142.02614886
8043,2020-08-04 09:34:33,b'Back to Stage 3 consistent messaging &amp; community confidence #maskup #staysafestayhome @GreaterHamilton sthgrampians\xe2\x80\xa6 https://t.co/p6sSIQnFHc',"{'hashtags': [{'text': 'maskup', 'indices': [64, 71]}, {'text': 'staysafestayhome', 'indices': [72, 89]}], 'symbols': [], 'user_mentions': [{'screen_name': 'GreaterHamilton', 'name': 'Greater Hamilton', 'id': 792857137831514112, 'id_str': '792857137831514112', 'indices': [90, 106]}], 'urls': [{'url': 'https://t.co/p6sSIQnFHc', 'expanded_url': 'https://twitter.com/i/web/status/1290581883835887616', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}","[-37.7386801, 142.02614886]}",,,-37.7386801,142.02614886
257,2020-08-09 08:18:00,b'Not a whole lot of upsides to #covid19 but happy with YTD cycling totals @bicycle_network garminau strava hccaus\xe2\x80\xa6 https://t.co/QNzvXT66N3',"{'hashtags': [{'text': 'covid19', 'indices': [30, 38]}], 'symbols': [], 'user_mentions': [{'screen_name': 'bicycle_network', 'name': '@Bicycle_Network', 'id': 23401985, 'id_str': '23401985', 'indices': [73, 89]}], 'urls': [{'url': 'https://t.co/QNzvXT66N3', 'expanded_url': 'https://twitter.com/i/web/status/1292374559488905217', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}","[-37.74214, 142.02148]}",,,-37.74214,142.02148
6439,2020-08-05 10:02:46,b'Today #ISOVERIT. Lucky I have the whole collection @ https://t.co/7VPAwkc4v6 Still making masks for the nation\xe2\x80\xa6 https://t.co/xZ9Lq9su0m',"{'hashtags': [{'text': 'ISOVERIT', 'indices': [6, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7VPAwkc4v6', 'expanded_url': 'http://www.libbyneesham.com', 'display_url': 'libbyneesham.com', 'indices': [53, 76]}, {'url': 'https://t.co/xZ9Lq9su0m', 'expanded_url': 'https://twitter.com/i/web/status/1290951370791628802', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}","[-37.769, 144.9956]}",,,-37.769,144.9956
10133,2020-08-02 23:15:36,"b'New print run, new colours. So happy with these! Get your positivity on! #maskup #facemasks https://t.co/7VPAwktFmE\xe2\x80\xa6 https://t.co/YFD3NTMmCV'","{'hashtags': [{'text': 'maskup', 'indices': [73, 80]}, {'text': 'facemasks', 'indices': [81, 91]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7VPAwktFmE', 'expanded_url': 'http://www.libbyneesham.com', 'display_url': 'libbyneesham.com', 'indices': [92, 115]}, {'url': 'https://t.co/YFD3NTMmCV', 'expanded_url': 'https://twitter.com/i/web/status/1290063733415243777', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","[-37.769, 144.9956]}",,,-37.769,144.9956
